Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ03_0_193_1,fɯːt8,0,long,fɯːt8,obstruent,0,long,ɯə,fɯːət,fɯːt,obstruent,Keep,yes,f,voiceless fricative
WZ03_3_74_1,poːn3,3,long,poːn3,nasal,3,long,o,poːn,pɔːn,nasal,Keep,yes,p,voiceless stop
WZ03_5_131_1,puən5_or_tiŋ2,5,short,puən5,nasal,5,long,uə,puːən,puːən,nasal,Keep,yes,p,voiceless stop
WZ03_9_182_1,θɯk7_or_ɕaːt9,9,long,ɕaːt9,obstruent,9,long,,,ɕaːt,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ03_1_9_1,ɣon1,1,short,ɣon1,nasal,1,short,o,ɣon,hon,nasal,Keep,yes,h,voiceless fricative
WZ03_9_179_1,tiːt7,9,long,tiːt7,obstruent,7,short,i,tit,tiət,obstruent,Keep,no,t,voiceless stop
WZ03_6_116_1,ɕaːn6,6,long,ɕaːn6,nasal,6,long,,,ɕaːn,nasal,Skipped,NA,ɕ,voiceless fricative
WZ03_3_65_1,si3,3,short,si3,nocoda,3,long,i,θiː,ɬiː,nocoda,Keep,yes,ɬ,voiceless fricative
WZ03_3_69_1,ɕe3,3,short,ɕe3,nocoda,3,long,e,ɕeː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_2_31_1,san2,2,short,san2,nasal,2,short,a,θan,ɬan,nasal,Extra,NA,ɬ,voiceless fricative
WZ03_8_165_1,tok8,8,short,tok8,obstruent,0,long,o,toːk,tɔːk,obstruent,Keep,no,t,voiceless stop
WZ03_2_38_1,ten2_or_teːn2,2,NA,ten2,nasal,2,NA,e,teːn,teːn,nasal,Exclude Item,yes,t,voiceless stop
WZ03_7_135_1,ɕat7,7,short,ɕat7,obstruent,7,short,i,tit,tit,obstruent,Extra,NA,t,voiceless stop
WZ03_2_42_1,ɕi2,2,short,ɕi2,nocoda,2,long,,,ɕiː,nocoda,Skipped,NA,ɕ,voiceless fricative
WZ03_7_147_1,bat7_or_bit7,7,short,bat7,obstruent,7,short,a,bat,bat,obstruent,Keep,yes,b,voiced stop
WZ03_2_32_1,san2,2,short,san2,nasal,2,short,a,θan,san,nasal,Extra,yes,s,voiceless fricative
WZ03_8_161_1,sak8,8,short,sak8,obstruent,5,long,oi,θoːi,ɬoːi,nocoda,Keep,no,ɬ,voiceless fricative
WZ03_6_125_1,ɕe6,6,short,ɕe6,nocoda,6,long,e,ɕeː,ɕeː,nocoda,Extra,NA,ɕ,voiceless fricative
WZ03_3_71_1,su3,3,short,su3,nocoda,3,long,u,θuː,suː,nocoda,Keep,yes,s,voiceless fricative
WZ03_0_191_1,ɕeːt8,0,long,ɕeːt8,obstruent,0,long,,,ɕeːt,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ03_2_43_1,tu2,2,short,tu2,nocoda,2,long,u,tuː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ03_5_98_1,ɕaːn1_or_toːn5,5,long,toːn5,nasal,5,long,o,toːn,tɔːn,nasal,Keep,yes,t,voiceless stop
WZ03_7_142_1,ɕɯt7,7,short,ɕɯt7,obstruent,7,long,,,ɕaːu,nocoda,Exclude Item,NA,ɕ,voiceless fricative
WZ03_1_50_1,fɯn2_or_liəu1,1,short,liəu1,nocoda,1,long,,,liəuː,nocoda,Skipped,NA,l,sonorant
WZ03_4_79_1,kan4,4,short,kan4,nasal,2,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ03_3_74_2,poːn3,3,long,poːn3,nasal,3,long,o,poːn,pɔːn,nasal,Keep,yes,p,voiceless stop
WZ03_1_14_1,ta1,1,short,ta1,nocoda,1,long,a,taː,taː,nocoda,Keep,yes,t,voiceless stop
